Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,MatMulV2,AI_CORE,20,136.5,6.48,6.825,7.12,78.304
0,Gelu,AI_VECTOR_CORE,15,37.82,2.3,2.521,2.76,21.696
